凸予定シート,,,,,,,
完了,送信者のメッセージid,キャルのメッセージid,メンバー,プレイヤーid,ボス番号,ボス名,メッセージ
1,781506390157164564,781506394020642826,抹茶ですよ,551525921660731396,c,スカイワルキューレ,1200物理
1,781511074175385611,781511079103692830,たまちゃん,425937517259259906,c,スカイワルキューレ,物理 1100 持ち越し
1,781522300977545247,781522306031681557,さいとう,340675991301128192,b,ワイルドグリフォン,物理1300
1,781524210782306354,781524213805744128,さいとう,340675991301128192,b,ワイルドグリフォン,1000物理
1,781528822176022570,781528826403618827,さいとう,340675991301128192,e,サジタリウス,800物理
1,781531891659964417,781531896101208096,sakadaka,538639387471249409,e,サジタリウス,750-800 魔法
1,781534447660040192,781534461703487508,夏みかん,366936884334690304,c,スカイワルキューレ,700 魔法
1,781535434990944288,781535438404845619,ゆうちゃこ,453557021288169481,c,スカイワルキューレ,物理1300くらい
1,781535557590188052,781535561386819587,抹茶ですよ,551525921660731396,c,スカイワルキューレ,持ち越し700~
1,781536542681202738,781536547211313203,ツナ,750706130774392852,b,ワイルドグリフォン,持ち越し700
1,781539121846812682,781539140944265246,ゆうちゃこ,453557021288169481,d,マスターセンリ,物理 1200〜
1,781539187010699265,781539208321040395,まろ,436517654535340032,c,スカイワルキューレ,物理 1200弱
1,781548999014219796,781549005800865852,がんすけ,614481066928898124,a,ワイバーン,物理 1000行くかいかないか
1,781549370490486824,781549374420287499,がんすけ,614481066928898124,b,ワイルドグリフォン,物理 950
1,781550910643503124,781550914694807582,まろ,436517654535340032,b,ワイルドグリフォン,物理 1200~1300
1,781555718620708945,781555722487857212,みみな(プリンセス),603834473041362944,a,ワイバーン,ワンパン
1,781556697097043968,781556701387554836,名無し(りえりー),257882449185472515,a,ワイバーン,ワンチャンワンパン
1,781556737538785371,781556741217189889,名無し(りえりー),257882449185472515,b,ワイルドグリフォン,1000↑
1,781556769059110943,781556778202038302,名無し(りえりー),257882449185472515,c,スカイワルキューレ,1300
1,781560214809608233,781560218995392553,がんすけ,614481066928898124,b,ワイルドグリフォン,950
1,781561143725785178,781561148255371276,抹茶ですよ,551525921660731396,b,ワイルドグリフォン,1200~
1,781563860632338483,781563864587436073,りん,703857608053882972,b,ワイルドグリフォン,フル持ち 1300
1,781563923773915146,781563926382641163,りん,703857608053882972,e,サジタリウス,ニャル 1500-1700
1,781579233209876491,781579237374558208,たまちゃん,425937517259259906,b,ワイルドグリフォン,700
1,781579370740842507,781579375488794664,エーイチ,580724415210323968,e,サジタリウス,ニャル1500
1,781582777639239732,781582799329165323,たまちゃん,425937517259259906,b,ワイルドグリフォン,900
1,781583455703400488,781583458937733130,おあり,324961936292708354,d,マスターセンリ,物理 1100ぐらい
1,781584168978481173,781584173160071188,まろ,436517654535340032,e,サジタリウス,ニャル 1600~1700
1,781584385807089664,781584389631901757,ハヤテ,362435337555017728,c,スカイワルキューレ,1300
1,781588545025736705,781588549635932220,りん,703857608053882972,d,マスターセンリ,物理1100
1,781589837622935572,781589840839966731,エーイチ,580724415210323968,d,マスターセンリ,物理1100
1,781592973439008788,781592976962355242,ハヤテ,362435337555017728,b,ワイルドグリフォン,1000
1,781593012941750293,781593016724226079,おあり,324961936292708354,c,スカイワルキューレ,1000ぐらい にゃる
1,781594111194562560,781594115426484304,おあり,324961936292708354,a,ワイバーン,1000 物理
1,781598966012706858,781598997030502406,エーイチ,580724415210323968,b,ワイルドグリフォン,物理850
1,781601090734129194,781601094580699226,エーイチ,580724415210323968,c,スカイワルキューレ,物理1100
1,781604233886564402,781604237384744971,ハヤテ,362435337555017728,a,ワイバーン,1200
1,781618739757449216,781618743981768735,リース,220132395393875968,d,マスターセンリ,持ち越し150-200程度
1,781619495630143528,781619498700505148,リース,220132395393875968,e,サジタリウス,魔法持ち越し150-200程度
1,781620527771942912,781620530796036107,厚着プリンセス下着冷凍まざらし,341239349997993984,d,マスターセンリ,600くらい 持ち越し
1,781621194243702785,781621198462255165,厚着プリンセス下着冷凍まざらし,341239349997993984,d,マスターセンリ,850くらい もちこし
1,781622018076311552,781622021934546975,リース,220132395393875968,a,ワイバーン,物理1300前後?
1,781629743585820732,781629747888390175,smicle(スマイル),420084355105423367,e,サジタリウス,1700 フル持ち越し
1,781642005142044712,781642008816255007,まろ,436517654535340032,e,サジタリウス,1600~700ニャル
1,781644792340676619,781644795969667073,つくよみっ！！,485132079517007873,b,ワイルドグリフォン,持ち越し 800
1,781644866076803103,781644869604868097,EnNE4,388955796454506500,b,ワイルドグリフォン,1100 物
1,781667467599806487,781667472003825704,EnNE4,388955796454506500,c,スカイワルキューレ,800
1,781676632301109328,781676639019859998,たかや@基本フルオート希望,322226212464230400,a,ワイバーン,1200
1,781676646859669504,781676652689489941,たかや@基本フルオート希望,322226212464230400,b,ワイルドグリフォン,1200
1,781678733735886879,781678738068602902,smicle(スマイル),420084355105423367,b,ワイルドグリフォン,700 持ち越し
1,781678778505494539,781678793823354911,がんすけ,614481066928898124,b,ワイルドグリフォン,950 夕方から〜
1,781681849662439445,781681853995155466,smicle(スマイル),420084355105423367,b,ワイルドグリフォン,700 持ち越し
1,781685842778259467,781685846394404864,ジャハド,661543389581279242,d,マスターセンリ,物理1000予定
1,781686082353758238,781686084978737172,ジャハド,661543389581279242,e,サジタリウス,にゃる1400予定
1,781686408644657173,781686412164202537,smicle(スマイル),420084355105423367,d,マスターセンリ,1300 物理
1,781686547648479255,781686552266276884,ジャハド,661543389581279242,b,ワイルドグリフォン,物理1100
1,781691846136954891,781691849676029993,たかや@基本フルオート希望,322226212464230400,e,サジタリウス,魔法700 or 1 魔法600
1,781695244659458069,781695248656367617,ジャハド,661543389581279242,b,ワイルドグリフォン,物理1100
1,781697625518637057,781697628764241920,ジャハド,661543389581279242,c,スカイワルキューレ,持ち越し36s300~350
1,781704781063782430,781704784414769232,ゆうちゃこ,453557021288169481,a,ワイバーン,ワンパン
1,781711273410428937,781711276526403594,超絶最強Canon砲,385069644052168715,e,サジタリウス,ニャル 乱数
1,781711342549336074,781711345049272331,たまちゃん,425937517259259906,e,サジタリウス,ニャル
1,781723660292849704,781723662545453087,たかや@基本フルオート希望,322226212464230400,a,ワイバーン,or2or3(事故あり) 持ち越し
1,781726233833766952,781726236220325919,ゆうちゃこ,453557021288169481,e,サジタリウス,ニャル 1500-1800
1,781732024650170370,781732028000370708,超絶最強Canon砲 1.5凸,385069644052168715,b,ワイルドグリフォン,330
1,781732169051275275,781732171735760926,厚着プリンセス下着冷凍まざらし,341239349997993984,c,スカイワルキューレ,1000 持ち越し
1,781735111824637962,781735114710581258,そうくん,527450451411599403,e,サジタリウス,ニャル1700 凸出来る時に出てきます
1,781735262530306060,781735265404059690,そうくん,527450451411599403,a,ワイバーン,ニャル1700 凸出来る時に出てきます
1,781749034187489290,781749036603801622,ジャハド,661543389581279242,e,サジタリウス,にゃる1.19持ち越し1000
1,781758620412018688,781758623512526848,ユッシー,614440140173213707,c,スカイワルキューレ,1200 物理
1,781758818635350028,781758821500583957,ユッシー,614440140173213707,e,サジタリウス,1400 ニャル
1,781765668017143828,781765671037698128,超絶最強Canon砲,385069644052168715,c,スカイワルキューレ,1200 物理
1,781769913584713748,781769916314419210,うさまる,652747597739589632,c,スカイワルキューレ,1100
1,781771448423022602,781771453737074718,まろ,436517654535340032,a,ワイバーン,持ち越し73s 1400~600 (20時頃まで不在)
1,781771499496931359,781771502189543436,まろ,436517654535340032,e,サジタリウス,持ち越し 73s 1000付近 (20時頃まで不在)
1,781773199875899422,781773202266521611,りん,703857608053882972,b,ワイルドグリフォン,もちこし 350万
1,781774936153915422,781774939836645416,がんすけ,614481066928898124,e,サジタリウス,持ち越し 1000
1,781779891577421884,781779894153379870,りん,703857608053882972,e,サジタリウス,ニャル 1500-1700
1,781779985463640104,781779987959250964,そうくん,527450451411599403,d,マスターセンリ,物理1300万 凸出来る時に出てきます
1,781785340813639711,781785343967232030,smicle(スマイル),420084355105423367,d,マスターセンリ,持ち越し700~800
1,781786972557279244,781786975669714965,いもちゃ,189264376388255744,b,ワイルドグリフォン,1100くらい
1,781790050097823744,781790053269635103,みみな(プリンセス),603834473041362944,d,マスターセンリ,花火職人🎆 (ワンパン、事故率高め)
1,781796049269293087,781796052554481675,うりころ,241564140819185664,b,ワイルドグリフォン,物理1100~1200
1,781812709510348810,781812713491398666,超絶最強Canon砲,385069644052168715,c,スカイワルキューレ,フル持ち 1250
1,781820503006511104,781820509117480960,さいとう,340675991301128192,e,サジタリウス,ニャル1100~1400
1,781834990458896386,781834994330107914,たまちゃん,425937517259259906,d,マスターセンリ,持ち越し 400
1,781835985137696768,781835989344845825,たかや@基本フルオート希望,322226212464230400,c,スカイワルキューレ,魔法750 or 4 魔法700
1,781838166582624276,781838170831716352,ツナ,750706130774392852,b,ワイルドグリフォン,物理1200(10時頃までいたりいなかったり
1,781838616124719104,781838621334437938,そうくん,527450451411599403,c,スカイワルキューレ,持ち越し1000万弱出るかも
1,781838668863635466,781838671313633280,(*^◯^*)ポジ,215772416541065216,c,スカイワルキューレ,物理 1300
1,781840297579118612,781840301060915211,さいとう,340675991301128192,a,ワイバーン,ニャル持ち越しワンパン
1,781845822744690698,781845826992603136,いもちゃ,189264376388255744,e,サジタリウス,1600くらい ニャル
1,781845891597467658,781845894257049621,エーイチ,580724415210323968,b,ワイルドグリフォン,物理1200
1,781852913386913802,781852918130147349,抹茶ですよ,551525921660731396,a,ワイバーン,ワンパン
1,781852968097021973,781852972112019477,抹茶ですよ,551525921660731396,c,スカイワルキューレ,1200
1,781854410165977109,781854414205091890,みみな(プリンセス),603834473041362944,d,マスターセンリ,花火職人🎆(ワンパンしたい、持ち越し)
1,781855629840351232,781855633464754187,(*^◯^*)ポジ,215772416541065216,b,ワイルドグリフォン,物理持ち越し 550
1,781864367435284501,781864371349356545,そうくん,527450451411599403,c,スカイワルキューレ,物理1350万
1,781865678743142401,781865683461210133,エーイチ,580724415210323968,b,ワイルドグリフォン,物理1100持越し
1,781866897603952661,781866902154379275,そうくん,527450451411599403,d,マスターセンリ,物理1300∼1400万
1,781867633393795072,781867636618166282,sakadaka,538639387471249409,e,サジタリウス,1500前後ニャル
1,781867840121995325,781867844261511180,そうくん,527450451411599403,b,ワイルドグリフォン,持ち越し28s210万
1,781867902227054592,781867906094333952,ユッシー,614440140173213707,e,サジタリウス,1200 持ち越し ニャル
1,781868839876427778,781868844167200769,抹茶ですよ,551525921660731396,c,スカイワルキューレ,持ち越し900くらい
1,781872758421585920,781872762914209813,(*^◯^*)ポジ,215772416541065216,c,スカイワルキューレ,ニャル 1600~~1700 (1 or 3ボス)
1,781880908042862652,781880913076289537,りん,703857608053882972,e,サジタリウス,ニャル 1300くらいかな
